KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,
2025,13.781,0.68907,1.27,4.266,-0.073,[11.18965384 17.84848231 26.13621077],[1.664 2.748 2.636],[-0.091 -0.119 -0.109],[0.107 0.151 0.169],[119.  70.  53.],[19.9 43.5 38.1],[12.1 30.  24.6],[5229.3 3544.7 2913.2],3,11.18965384,26.13621077,18.391448973333336,14.946556930000002,0.3684259722348342,0.3324356394938584,0.5297129853054134,0.03298747285464926,0.04273676996459214,0.018575897582604316,0.7097697839972479,1.664,2.748,2.3493333333333335,1.0840000000000003,0.48675615615578577,0.2071890562524627,0.09928297070390882,0.15380249716231556,0,1,2,0,
2028,15.99,2.19885,0.83,4.541,-0.068,[ 37.05503257  57.2486346  142.546674  ],[2.607 3.087 2.451],[-0.18  -0.16  -0.181],[0.215 0.231 0.214],[37. 23.  9.],[23.2 29.8 13.7],[22.7 27.8 11.7],[ 872.1 1105.3  361. ],3,37.05503257,142.546674,78.95011372333333,105.49164142999999,0.5851098891654183,0.5790869015247369,1.0174600447657767,0.37234223838960695,0.2342041802580212,0.10435848056265794,0.740776829746904,2.451,3.087,2.7150000000000003,0.6360000000000001,0.27064367718459637,0.09968459564810178,0.042404504832020136,0.07808471454880296,0,0,3,0,
2029,13.831,0.21597,1.16,3.917,0.019,[ 4.78847692  6.88724533 10.05538883 16.33270729],[0.599 0.667 0.875 1.255],[-0.078 -0.062 -0.055 -0.08 ],[0.071 0.075 0.077 0.115],[259. 188. 139.  81.],[ 7.2  8.1 13.6 17.5],[ 9.9 11.2 17.2 24.7],[5133.  4032.  3097.2 1556.6],4,4.78847692,16.33270729,9.515954592499998,11.544230369999998,0.5328607803335925,0.4581172209879589,0.5075237401739159,0.030034104297022607,0.04112228342536513,0.023521412938221128,0.8536103598176691,0.599,1.255,0.849,0.6559999999999999,0.255507338446472,0.30095092867664547,0.12540696952164454,0.2135846093443266,3,1,0,0,
2037,15.213,2.70479,0.82,4.569,0.192,[ 5.477158    8.56266099 73.75811578],[1.74  1.827 3.113],[-0.135 -0.155 -0.194],[0.203 0.186 0.28 ],[208. 136.  15.],[16.7 15.2 20.2],[22.8 18.7 29.9],[2801.4 1985.5  361. ],3,5.477158,73.75811578,29.265978256666667,68.28095778,1.129254544492897,1.0758533099582586,4.088632352029105,0.9321989874373701,0.6927779335730476,0.3968393825978864,0.5343177781593066,1.74,3.113,2.2266666666666666,1.373,0.627737914171901,0.28191822492750046,0.11551416698546031,0.20553892215568864,0,2,1,0,
2038,14.779,2.05969,0.95,4.492,0.116,[ 8.30542284 12.51345816 17.91327996 25.21486084],[2.823 1.771 1.196 1.225],[-1.382 -0.089 -0.087 -0.118],[5.183 0.139 0.116 0.141],[158. 110.  74.  53.],[28.5 30.  11.4  9.9],[21.8 19.9  8.3  8.7],[4827.2 3846.3 2759.4 2624.6],4,8.30542284,25.21486084,15.98675545,16.909438,0.48229482779106836,0.3955331706728882,0.4485964891098147,0.010511915723767761,0.022793104679617055,0.012559746969889006,0.7970206228204141,1.196,2.823,1.7537499999999997,1.627,0.6584555319078123,0.3754557558989664,0.1538496666898641,0.2578759800427655,0,3,1,0,
2045,15.549,3.08771,0.7,4.615,-0.06,[ 5.47665173 16.93512559 24.2095264 ],[1.704 1.264 1.423],[-0.081 -0.101 -0.098],[0.125 0.129 0.137],[179.  60.  44.],[32.  11.5 14.1],[25.4  8.7 11.5],[4160.8 1800.2 1514.9],3,5.47665173,24.2095264,15.540434573333334,18.73287467,0.6454711693683254,0.49618874468416224,1.2608929368074655,0.701149107610268,0.36770772651065425,0.17048148037721964,1.2090007954166895,1.264,1.704,1.4636666666666667,0.43999999999999995,0.18191634218935787,0.12428809532408873,0.05343668069264216,0.10020496470052379,0,3,0,0,
2055,14.523,1.50596,1.0,4.458,0.007,[2.5047528  4.02583093 6.1308059  8.67891788],[1.303 1.586 1.121 2.255],[-0.084 -0.083 -0.097 -0.097],[0.118 0.108 0.136 0.126],[406. 259. 167. 126.],[18.9 23.9  9.8 37.4],[14.7 19.   0.  29.6],[8630.6 6175.4 4277.4 3790.9],4,2.5047528,8.67891788,5.335076877500001,6.17416508,0.539700708323979,0.4349559568253958,0.5152560877665331,0.027054380877739384,0.04216062579868494,0.022604031016533237,0.8467918381184503,1.121,2.255,1.56625,1.134,0.43078844866128896,0.2750445003424032,0.11464044861342236,0.19606278265496138,0,3,1,0,
2073,15.565,2.80786,0.79,4.569,0.059,[ 6.47537943 16.85823589 49.50026916],[1.622 1.936 2.178],[-0.093 -0.125 -0.134],[0.13  0.208 0.208],[190.  80.  26.],[28.1 21.8 27.8],[24.  17.5 22.3],[4675.6 1505.6 1381.7],3,6.47537943,49.50026916,24.277961493333333,43.02488973,0.8833423391073544,0.7550740226423663,1.7698511249724005,0.011409893538393548,0.06008089329091368,0.026136063631122294,1.2898221170925654,1.622,2.178,1.912,0.5559999999999998,0.22761956564993843,0.11904788998427743,0.05270282351170874,0.09693165969316594,0,1,2,0,
2086,13.959,0.48449,1.0,4.14,-0.02,[  7.13295045   8.91897737  11.89824703 335.5198537 ],[1.734 1.943 1.756 1.836],[-0.071 -0.089 -0.127 -0.169],[0.11  0.124 0.151 0.197],[182. 150. 115.   4.],[27.2 29.6 15.9  8.8],[23.6 23.9 12.4  0. ],[6836.8 5170.6 2890.5  496.8],4,7.13295045,335.5198537,90.8675071375,328.38690325,1.6724490166055324,1.5545750074002818,9.261175945064831,0.9737561634995017,0.8754262588840218,0.7774905769567958,0.049333759323166824,1.734,1.943,1.81725,0.20900000000000007,0.08192488938045632,0.045081793578459935,0.019369578881979984,0.03242078231760445,0,3,1,0,
2092,15.886,2.08814,0.83,4.489,-0.281,[25.56387152 57.68938988 77.08943467],[2.839 3.46  2.769],[-0.194 -0.296 -0.321],[0.324 0.356 0.464],[43. 20. 16.],[32.8 31.2 15. ],[27.4 27.  11.6],[1585.  794.  491.],3,25.56387152,77.08943467,53.447565356666665,51.52556315,0.47936823462824063,0.39754835350152395,0.7964805100301918,0.6121039485568616,0.2561653503664767,0.11473575076287794,0.3458659157863597,2.769,3.46,3.0226666666666664,0.6909999999999998,0.3105589942167009,0.10274338141267124,0.04333720762367931,0.07620202911336567,0,0,3,0,
